,Airport_code,Airport_name,Airport_address,Airport_description
698,nce,Aéroport Nice Côte d'Azur,Nice France,France’s third busiest airport is named for the regions it serves: the city of Nice and the Côte d'Azur (the French Riviera).
699,ncl,Newcastle International Airport,Newcastle UK,"Opened in 1935, Newcastle International served 4.6 million passengers in 2014 making it one of the busiest in the United Kingdom. Its airport code honors its home in Newcastle."
700,ndj,N’Djamena International Airport,N’Djamena Chad,"N’Djamena Airport is the only international airport in Chad, serving both civilian and military traffic. Its three-letter code comes from the capital city of N’Djamena."
701,ndl,N’Délé Airport,N’Délé Central African Republic,N’Délé Airport gets its three-letter airport code from its home in the city of N’Délé in the Central African Republic.
702,ngb,Ningbo Lishe International Airport,Ningbo China,"Ningbo Lishe International is the principal airport serving Ningbo, a major city in the Yangtze River Delta region and the second largest city in Zhejiang Province, China."
703,ngo,Chūbu Centrair International Airport,Nagoya Japan,"Chūbu Centrair International serves the Chūbu (central) region of Japan. Located in the city of Nagoya, it replaced Nagoya Airport in 2005 and inherited its airport code too."
704,ngs,Nagasaki Airport,Nagasaki Japan,"Opened as a military aerodome in 1923, Omura Airport began civilian use in 1955. It was later renamed to Nagasaki Airport after the city it serves."
705,nic,Nicosia International Airport,Nicosia Cyprus,Nicosia International has been closed since the Turkish invasion of Cyprus in 1974 and later became a United Nations controlled Buffer Zone. It previously served as a military and commercial airport for the city of Nicosia.
706,nim,Diori Hamani International Airport,Niamey Niger,Diori Hamani International is named after the first President of the Republic of Niger. Its airport code comes from its home in the city of Niamey.
707,nkc,Nouakchott International Airport,Nouakchott Mauritania,Nouakchott International gets its three-letter airport code from Mauritania’s capital city of Nouakchott.
708,nkg,Nanjing Lukou International Airport,Nanjing China,"Nanjing Lukou International serves Nanjing and gets its airport code from the city’s former Romanization, Nanking."
709,nng,Nanning Wuxu International Airport,Nanning China,"Nanning Wuxu International serves the city of Nanning, the capital of Guangxi Zhuang Autonomous Region in China."
710,nos,Fascene Airport,Nosy Be Madagascar,"One of the busiest airports in Madagascar, Fascene Airport gets its three-letter code from its home on the island of Nosy Be."
711,nqy,Newquay Cornwall Airport,Newquay UK,"Located in St Mawgan in Pydar, Newquay Cornwall Airport began as a civilian airfield in 1933. Its airport code comes from the town of Newquay in Cornwall."
712,nrn,Flughafen Weeze,Weeze Germany,"Weeze Airport’s three-letter code comes from its official name, Flughafen Niederrhein, with Niederrhein translating to the “Lower Rhine” that flows nearby."
713,nrt,Narita International Airport,Tokyo Japan,"Upon privitazation in 2004, New Tokyo International Airport was renamed in recognition of the city in which is located, Narita."
714,nsn,Nelson Airport,Nelson New Zealand,"Originally built in 1937, Nelson Airport gets its three-letter code from its home in the city of Nelson."
715,nte,Aéroport Nantes Atlantique,Nantes France,"Originally a French military airfield, Nantes Atlantique is located southwest of Bouguenais and serves the city of Nantes."
716,ntl,Newcastle Airport,Williamtown NSW Australia,"Newcastle Airport is 15 kilometres; 9.2 miles (8 NM) north of Newcastle, New South Wales in Port Stephens. It is the 13th busiest airport in Australia, handling over 1.25 million passengers in the year ended 30 June 2017."
717,nue,Flughafen Nürnberg,Nuremberg Germany,"Inaugurated in 1955, Nuremberg Airport is the second-busiest airport in Bavaria. It is christened after German artist Albrecht Dürer and serves the city of Nuremberg."
718,nwi,Norwich International Airport,Norwich UK,Norwich International was opened during World War II as RAF Horsham St Faith and is located in the city of Norwich in Norfolk.
719,nyo,Stockholm Skavsta flygplats,Stockholm Sweden,"Stockholm Skavsta Airport served as a military airbase until 1980 and now serves the city of Stockholm. Its airport code comes from the town of Nyköping, where it’s located."
720,oak,Oakland International Airport,Oakland CA USA,Oakland International was the departure site for Amelia Earhart’s final flight in 1937. It now serves the eastern part of the San Francisco Bay Area (the East Bay) and the city of Oakland.
721,obn,Oban Airport,Oban UK,"Located near the village of North Connel, Scotland’s Oban Airport gets its three-letter code from the town it serves, Oban."
722,ods,Odessa International Airport,Odessa Ukraine,"Originally built in 1961, Odessa International serves Ukraine’s third largest city of Odessa."
723,ogg,Kahului Airport,Kahului HI USA,"Kahului Airport is named after its home city, but its airport code honors Hawaiian-born pilot Bertram J. Hogg."
724,ohd,Aerodrom Ohrid “Sv. Apostol Pavle”,Ohrid Macedonia,Ohrid Airport is named after Saint Paul the Apostle and serves the city of Ohrid in Macedonia.
725,oka,Naha Airport,Naha Japan,"Opened in 1933 as Oroku Aerodrome, Naha Airport gets its airport code from its home in Naha, Okinawa."
726,okc,Will Rogers World Airport,Oklahoma City OK USA,"It may sound like an amusement park, but Will Rogers World Airport honors legendary cowboy and entertainer, Will Rogers. Its airport code honors its home in Oklahoma City."
727,oma,Eppley Airfield,Omaha NE USA,Eppley Airfield is Nebraska’s largest airport and honors hotel mogul Eugene C. Eppley. Its aiport code honors its home in Omaha.
728,ome,Nome Airport,Nome AK USA,"When airport codes switched from two letters to three, the U.S. Navy reserved all codes starting with ‘N’. Nome Airport then used the next few letters in its home city of Nome to get OME."
729,omo,Mostar International Airport,Mostar Bosnia and Herzegovina,"Opened in 1965, Mostar International gets its airport code from its home in the village of Ortiješ in Mostar, Bosnia and Herzegovina."
730,oms,Omsk Tsentralny Airport,Omsk Russia,Omsk Tsentralny Airport gets its three-letter code from its home in Omsk Oblast.
731,ont,LA/Ontario International Airport,Ontario CA USA,"Established in 1929, Ontario Municipal was renamed “International” in 1946. In 2006, the “LA” was added to avoid confusion with the Canadian province that shares the name Ontario."
732,ool,Gold Coast Airport,Gold Coast Qld Australia,"Gold Coast Airport is located in the suburb of Bilinga on the Gold Coast. Its airport code comes from its former name of Coolangatta Airport, an Aboriginal word meaning “Place of Good View.”"
733,opo,Aeroporto Francisco Sá Carneiro,Porto Portugal,Portugal’s second busiest airport is named after former Prime Minister Francisco de Sá Carneiro. Its airport code comes from its home in Porto and its alternate English spelling: Oporto.
734,orb,Örebro flygplats,Örebro Sweden,"Originally opened in 1979, Örebro Airport is located 10km from the city of Örebro in Sweden."
735,ord,O’Hare International Airport,Chicago IL USA,"Before the airport was renamed after Medal of Honor recipient Edward O’Hare in 1949, it was known as Orchard Field Airport."
736,orf,Norfolk International Airport,Norfolk VA USA,"When airport codes switched from two letters to three, the Navy reserved all codes starting with ‘N’. Norfolk, then, used the next letters in its name to make ORF."
737,orh,Worcester Regional Airport,Worcester MA USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. With ORC (and other OR- codes) already taken, Worcester opted for ORH."
738,ork,Cork Airport,Cork Ireland,"Located in the village of Ballygarvan, Cork Airport is one of the three primary airports in Ireland. Its airport code comes from the city of Cork."
739,ory,Aéroport de Paris-Orly,Paris France,"Once named Villeneuve-Orly Airport, France’s second busiest airport is partially located in both Paris communes Villeneuve-le-Roi and Orly."
740,osl,Oslo lufthavn,Oslo Norway,"Norway’s busiest airport is actually located in Gardermoen, but its airport code honors the capital city of Oslo."
741,ost,Internationale Luchthaven Oostende-Brugge,Ostend Belgium,Ostend-Bruges International serves mainly as a cargo and charter airport. Its airport code honors its coastal home city of OSTend.
742,otp,Aeroportul Internațional Henri Coandă,Bucharest Romania,"Bucharest’s airport honors Henri Coandă, inventor of the first jet engine and discoverer of the Coandă effect in fluid dynamics. Its airport code comes from the nearby city of Otopeni."
743,oua,Ouagadougou International Airport,Ouagadougou Burkina Faso,"Built in the 1960s, Ouagadougou International gets its three-letter airport code from the capital of Burkina Faso, Ouagadougou."
744,oul,Oulun lentoasema,Oulu Finland,Oulu Airport is Finland’s second busiest airport and its airport code reflects its home in the city of Oulu.
745,ovb,Novosibirsk Tolmachevo Airport,Novosibirsk Russia,"Opened in 1957, Novosibirsk Tolmachevo Airport gets its three-letter code from the city of Novosibirsk."
746,ovd,Aeropuerto de Asturias,Asturias Spain,"Opened in 1968, Asturias Airport serves the principality of Asturias and gets its three-letter code from its capital city of Oviedo."
747,oxb,Aeroporto Internacional Osvaldo Vieira,Bissau Guinea-Bissau,"Guinea-Bissau’s only international airport gets its three-letter code from its name, Osvaldo Viera International, plus the city of Bissau, plus a filler ‘X’ in between."
748,oxf,London Oxford Airport,Oxford UK,"Established in 1935, London Oxford Airport was renamed in 2009 to highlight its “proximity” to London (though located 59 miles away). It is located near Kidlington and serves the city of Oxford."
749,pae,Snohomish County Airport,Everett WA USA,"Also known as Paine Field, the airport is adjacent to the Boeing assembly plant that churns out 747s, 777s, and DreamLiners."
750,pap,Aéroport International Toussaint L'Ouverture,Port-au-Prince Haiti,"Started as an airfield in the 1940s, Toussaint L'Ouverture Airport has had many names, but is currently named after the leader of the Haitian Revolution. Located in the town of Tabarre, it serves the capital city of Port-au-Prince."
